X,Date,Time,Player1,Player2,Sets_P1,Sets_P2,P1_G1,P2_G1,P1_G2,P2_G2,P1_G3,P2_G3,P1_G4,P2_G4,P1_G5,P2_G5,HomeWinner,Series_Type,Is_Exciting,P1_Elo,P2_Elo,Elo_Diff,P1_WinRate,P2_WinRate,WinRate_Diff,P1_Streak,P2_Streak
108,6/10/2022,12:25:00,Torba R.,Nakliutskyi A.,3,2,11,5,11,9,10,12,11.0,13.0,11.0,7.0,1,Secure,0,1012.0,988.0,24.0,0.6667,0.3333,0.3334,2,0
109,6/10/2022,12:25:00,Zemiantsev S.,Horbanenko O.,3,1,6,11,11,7,11,5,11.0,9.0,,,1,Secure,0,1000.0,999.2,0.7999999999999545,0.5,0.5,0.0,1,0
110,6/10/2022,12:30:00,Stukalov V.,Tsoi K.,3,2,11,6,7,11,4,11,11.0,9.0,11.0,9.0,1,Recovery,0,1012.0,964.8,47.200000000000045,0.6667,0.0,0.6667,0,0
111,6/10/2022,12:30:00,Zaitsev O.,Baday M.,0,3,7,11,10,12,7,11,,,,,0,Sweep,0,998.3,1046.4,48.100000000000136,0.5,1.0,0.5,0,4
112,6/10/2022,12:35:00,Skripnik S.,Sklyarenko A.,0,3,9,11,5,11,7,11,,,,,0,Sweep,0,988.0,1035.2,47.200000000000045,0.3333,1.0,0.6667000000000001,1,3
113,6/10/2022,12:50:00,Daragan S.,Maltsev D.,0,3,4,11,8,11,7,11,,,,,0,Sweep,0,965.6,989.6,24.0,0.0,0.3333,0.3333,0,1
114,6/10/2022,12:50:00,Herink J.,Lukes T.,3,2,6,11,12,10,11,9,5.0,11.0,11.0,5.0,1,Secure,0,1034.3,988.0,46.299999999999955,1.0,0.3333,0.6667000000000001,3,0
115,6/10/2022,12:50:00,Mikus D.,Marko J.,1,3,11,13,8,11,11,8,8.0,11.0,,,0,Secure,0,999.2,1024.0,24.799999999999955,0.5,1.0,0.5,0,2
116,6/10/2022,12:50:00,Romanenko I.,Dubrovin V.,0,3,8,11,8,11,10,12,,,,,0,Sweep,0,1012.0,1011.2,0.7999999999999545,0.6667,0.6667,0.0,2,1
117,6/10/2022,12:55:00,Melnik V.,Cherevko R.,3,0,11,6,11,8,11,6,,,,,1,Sweep,0,976.0,1000.0,24.0,0.0,0.5,0.5,0,0
118,6/10/2022,12:55:00,Nikolenko S.,Kuzmych V.,3,2,11,6,10,12,12,14,11.0,5.0,12.0,10.0,1,Recovery,0,1011.1,964.9,46.200000000000045,0.6667,0.0,0.6667,0,0
119,6/10/2022,13:00:00,Yakubov M.,Kunchurov D.,2,3,11,9,12,10,2,11,3.0,11.0,3.0,11.0,0,Comeback,1,987.2,1035.2,48.0,0.3333,1.0,0.6667000000000001,0,3
120,6/10/2022,13:00:00,Zaporozhets R.,Hubenko M.,3,2,5,11,11,9,11,8,9.0,11.0,11.0,3.0,1,Secure,0,1000.0,1000.0,0.0,,,,0,0
121,6/10/2022,13:05:00,Barsa T.,Luder J.,3,1,11,7,11,3,6,11,11.0,6.0,,,1,Secure,0,1000.0,1000.0,0.0,,,,0,0
122,6/10/2022,13:05:00,Kolbasenko O.,Nadporozhskyi O.,1,3,9,11,9,11,12,10,8.0,11.0,,,0,Secure,0,1012.8,964.8,48.0,0.6667,0.0,0.6667,1,0
123,6/10/2022,13:05:00,Zholubak R.,Yurchenko K.,2,3,11,8,11,9,10,12,9.0,11.0,6.0,11.0,0,Comeback,1,1000.0,1000.0,0.0,,,,0,0
124,6/10/2022,13:15:00,Plyska O.,Pavelka J.,3,0,11,7,13,11,14,12,,,,,1,Sweep,0,1000.0,1000.0,0.0,,,,0,0
127,6/10/2022,13:20:00,Turek T.,Cechvala R.,0,3,9,11,4,11,9,11,,,,,0,Sweep,0,988.8,1012.8,24.0,0.3333,0.6667,0.3334,1,2
125,6/10/2022,13:20:00,Lutskyi V.,Vons V.,3,0,13,11,11,9,11,6,,,,,1,Sweep,0,1021.6,1021.6,0.0,0.75,0.75,0.0,0,1
126,6/10/2022,13:20:00,Mul S.,Shkepu S.,3,1,12,10,12,10,6,11,11.0,7.0,,,1,Secure,0,1035.1,988.8,46.299999999999955,1.0,0.3333,0.6667000000000001,3,0
128,6/10/2022,13:25:00,Masko Y.,Zemiantsev S.,3,2,13,15,8,11,11,4,11.0,7.0,11.0,6.0,1,Comeback,1,1013.6,1012.0,1.6000000000000227,0.6667,0.6667,0.0,2,2
129,6/10/2022,13:30:00,Hordiichuk O.,Torba R.,3,2,9,11,11,6,11,6,7.0,11.0,11.0,9.0,1,Secure,0,1000.0,1023.1,23.100000000000023,0.5,0.75,0.25,0,3
130,6/10/2022,13:30:00,Lushchyk A.,Maliuk S.,3,2,11,4,6,11,12,14,11.0,7.0,11.0,7.0,1,Recovery,0,1000.0,1000.0,0.0,,,,0,0
131,6/10/2022,13:30:00,Ponomarenko O.,Yurenev O.,3,2,5,11,11,7,11,8,5.0,11.0,11.0,4.0,1,Secure,0,1011.2,989.6,21.600000000000023,0.6667,0.3333,0.3334,1,1
132,6/10/2022,13:30:00,Zydel J.,Zezule O.,0,3,9,11,2,11,2,11,,,,,0,Sweep,0,1000.0,1000.0,0.0,,,,0,0
133,6/10/2022,13:35:00,Bochkovskyi V.,Honchar Y.,0,3,9,11,8,11,4,11,,,,,0,Sweep,0,1000.0,1000.0,0.0,,,,0,0
134,6/10/2022,13:35:00,Mrykh M.,Mishchenko V.,3,0,11,5,11,7,13,11,,,,,1,Sweep,0,988.8,1010.4,21.600000000000023,0.3333,0.6667,0.3334,0,0
135,6/10/2022,13:45:00,Zimcik L.,Sprongl J.,3,0,11,9,11,5,11,3,,,,,1,Sweep,0,1000.0,1000.0,0.0,,,,0,0
